split,relation,real_mean,fake_mean,fake_minus_real,real_std,fake_std
crf_src,orig_low,0.9223452210426331,0.9038369059562683,-0.018508315086364746,0.04157179966568947,0.03731895983219147
crf_src,orig_mid,0.5232003331184387,0.5552862882614136,0.032085955142974854,0.08645141124725342,0.0679503008723259
crf_src,orig_high,0.5596394538879395,0.6490706205368042,0.08943116664886475,0.11197981238365173,0.0625990703701973
crf_src,low_mid,0.35681048035621643,0.3564704656600952,-0.0003400146961212158,0.08361954987049103,0.07242244482040405
crf_src,low_high,0.46306097507476807,0.4947473704814911,0.03168639540672302,0.08059272915124893,0.06448725610971451
crf_src,mid_high,0.8643336296081543,0.8810989856719971,0.016765356063842773,0.07130961120128632,0.05039514601230621
crf0,orig_low,0.9223452210426331,0.9038369059562683,-0.018508315086364746,0.04157179966568947,0.03731895983219147
crf0,orig_mid,0.5232003331184387,0.5552862882614136,0.032085955142974854,0.08645141124725342,0.0679503008723259
crf0,orig_high,0.5596394538879395,0.6490706205368042,0.08943116664886475,0.11197981238365173,0.0625990703701973
crf0,low_mid,0.35681048035621643,0.3564704656600952,-0.0003400146961212158,0.08361954987049103,0.07242244482040405
crf0,low_high,0.46306097507476807,0.4947473704814911,0.03168639540672302,0.08059272915124893,0.06448725610971451
crf0,mid_high,0.8643336296081543,0.8810989856719971,0.016765356063842773,0.07130961120128632,0.05039514601230621
crf23,orig_low,0.9224184155464172,0.9024088978767395,-0.020009517669677734,0.039451275020837784,0.037260882556438446
crf23,orig_mid,0.5382587909698486,0.5590114593505859,0.020752668380737305,0.08163914829492569,0.06846210360527039
crf23,orig_high,0.5680375099182129,0.6509575843811035,0.08292007446289062,0.10993629693984985,0.061533283442258835
crf23,low_mid,0.3707413971424103,0.3670883774757385,-0.003653019666671753,0.08908748626708984,0.07595629245042801
crf23,low_high,0.47297704219818115,0.5050833225250244,0.03210628032684326,0.09218272566795349,0.0685591846704483
crf23,mid_high,0.8606078624725342,0.8778077960014343,0.017199933528900146,0.07801692932844162,0.05174693092703819
crf40,orig_low,0.9300444722175598,0.9210351705551147,-0.009009301662445068,0.040556758642196655,0.03469346836209297
crf40,orig_mid,0.5457006096839905,0.5656111836433411,0.019910573959350586,0.09921086579561234,0.06830945611000061
crf40,orig_high,0.5805124640464783,0.6596891283988953,0.07917666435241699,0.11240461468696594,0.06094114109873772
crf40,low_mid,0.38595718145370483,0.38267531991004944,-0.0032818615436553955,0.10493812710046768,0.08352421224117279
crf40,low_high,0.494977205991745,0.5199898481369019,0.02501264214515686,0.10112135857343674,0.06405846029520035
crf40,mid_high,0.8740653991699219,0.8872531056404114,0.013187706470489502,0.08526468276977539,0.05752115324139595
mixed,orig_low,0.924288272857666,0.9077794551849365,-0.016508817672729492,0.04093245789408684,0.037460196763277054
mixed,orig_mid,0.5325900316238403,0.5587988495826721,0.026208817958831787,0.08921293169260025,0.06829871982336044
mixed,orig_high,0.5669572353363037,0.652197003364563,0.08523976802825928,0.11190593987703323,0.06207791715860367
mixed,low_mid,0.367579847574234,0.3656761944293976,-0.0019036531448364258,0.09153240919113159,0.07696773111820221
mixed,low_high,0.47351908683776855,0.5036419630050659,0.030122876167297363,0.08999034762382507,0.06623560190200806
mixed,mid_high,0.8658351898193359,0.8818146586418152,0.015979468822479248,0.076854407787323,0.052707742899656296
